"Moderator","EstCI","Pval"
"X.Intercept.","0.1 [-0.05, 0.25]","0.18890107"
"mean_agec","0.02 [0.01, 0.03]","0.00025827"
"test_langb.nonnative","-0.08 [-0.19, 0.04]","0.19330973"
"methodb.hpp","0.22 [0.12, 0.32]","0.00014279"
