"Moderator","EstCI","Pval"
"X.Intercept.","0.11 [-0.13, 0.35]","0.34668998"
"isMetaTRUE","0.55 [-0.07, 1.16]","0.07796903"
"mean_agec_mos","0.05 [0.02, 0.08]","0.00046632"
"test_langb.nonnative","-0.09 [-0.20, 0.01]","0.08947456"
"test_langc.artificial","-0.5 [-2.47, 1.46]","0.38542035"
"methodb.hpp","0.15 [-0.23, 0.52]","0.42957348"
"methodc.other","0.63 [-1.21, 2.46]","0.31591633"
