"Moderator","EstCI","Pval"
"X.Intercept.","0.77 [0.36, 1.18]","0.0060568"
"mean_agec","0.04 [-0.01, 0.09]","0.1078098"
"test_langb.nonnative","-0.3 [-1.02, 0.42]","0.2709201"
"test_langc.artificial","-0.51 [-2.02, 1.01]","0.3249946"
"methodb.hpp","-0.39 [-2.30, 1.52]","0.5854501"
"methodc.other","0.57 [-0.90, 2.03]","0.3002101"
