stat,naive,mod,modelDiff
AvgM,"0.38 [0.22, 0.53]","0.38 [0.16, 0.59]",0
AvgR,"0.35 [0.28, 0.53]","0.36 [0.21, 0.59]","-0.01 [-0.05, 0.05]"
AvgDiff,"0.03 [-0.14, 0.19]","0.02 [-0.2, 0.23]","0.01 [-0.01, 0.08]"
Perc0M,"89 [89, 96]","95 [94, 99]","-6 [-6, -1]"
Perc0R,"100 [96, 100]",100,"0 [-4, 0]"
Perc0Diff,"-11 [-12, -4]","-5 [-6, -1]","-6 [-7, -1]"
Perc0.2M,"68 [61, 80]","87 [80, 95]","-19 [-30, -6]"
Perc0.2R,"90 [77, 100]",0,"90 [85, 100]"
Perc0.2Diff,"-22 [-33, -2]","87 [83, 94]","-109 [-131, -26]"
