"Moderator","EstCI","Pval"
"X.Intercept.","0.32 [0.26, 0.39]","< 0.0001"
"isMeta_rep","0.03 [-0.14, 0.20]","0.65570063"
"mean_agec_mos","0.04 [0.02, 0.07]","0.00036602"
"test_lang_c","0.09 [-0.01, 0.20]","0.08341173"
"method_c","0.24 [0.13, 0.34]","< 0.0001"
"isMeta_rep.mean_agec_mos","-0.04 [-0.07, -0.02]","0.00248745"
"isMeta_rep.test_lang_c","-0.18 [-0.52, 0.15]","0.21408648"
"isMeta_rep.method_c","-0.38 [-0.63, -0.12]","0.00492674"
