"Moderator","EstCI","Pval"
"X.Intercept.","0.38 [0.18, 0.58]","0.0013188"
"mean_agec_mos","0 [-0.02, 0.02]","0.8136707"
"test_langb.nonnative","0.15 [-0.53, 0.84]","0.3901213"
"test_langc.artificial","-0.19 [-2.83, 2.44]","0.5234555"
"methodb.hpp","-0.13 [-0.40, 0.14]","0.3327818"
"methodc.other","0.2 [-1.98, 2.38]","0.5298959"
