"Moderator","EstCI","Pval"
"X.Intercept.","0.34 [0.24, 0.44]","0.00011328"
"isMeta_c","0.03 [-0.16, 0.23]","0.69811661"
"mean_agec_mos","0.02 [-0.00, 0.05]","0.05492283"
"test_lang_c","0 [-0.20, 0.19]","0.98698438"
"method_c","0.05 [-0.10, 0.21]","0.48627811"
"isMeta_c.mean_agec_mos","-0.04 [-0.09, 0.00]","0.06090287"
"isMeta_c.test_lang_c","-0.19 [-0.58, 0.20]","0.26507274"
"isMeta_c.method_c","-0.36 [-0.67, -0.06]","0.02139515"
