"Moderator","EstCI","Pval"
"X.Intercept.","0.35 [0.16, 0.55]","0.0111133"
"isMeta_meta","0.03 [-0.14, 0.20]","0.6557006"
"mean_agec_mos","0 [-0.02, 0.02]","0.8167092"
"test_lang_c","-0.09 [-0.50, 0.32]","0.5064701"
"method_c","-0.14 [-0.39, 0.11]","0.2412973"
"isMeta_meta.mean_agec_mos","-0.04 [-0.07, -0.02]","0.0024874"
"isMeta_meta.test_lang_c","-0.18 [-0.52, 0.15]","0.2140865"
"isMeta_meta.method_c","-0.38 [-0.63, -0.12]","0.0049267"
