"Moderator","EstCI","Pval"
"X.Intercept.","0.25 [0.15, 0.35]","< 0.0001"
"mean_agec_mos","0.04 [0.02, 0.07]","0.00032137"
"test_langb.nonnative","-0.1 [-0.21, 0.00]","0.05959164"
"methodb.hpp","0.22 [0.12, 0.33]","0.00011699"
