"Moderator","EstCI","Pval"
"X.Intercept.","0.49 [0.40, 0.58]","< 0.0001"
"mean_agec_mos","0.04 [0.02, 0.07]","0.00036602"
"isMetaTRUE","-0.25 [-0.44, -0.05]","0.01487531"
"test_lang_bother","-0.09 [-0.20, 0.01]","0.08341173"
"method_bother","-0.24 [-0.34, -0.13]","< 0.0001"
"mean_agec_mos.isMetaTRUE","-0.04 [-0.07, -0.02]","0.00248745"
"isMetaTRUE.test_lang_bother","0.18 [-0.15, 0.52]","0.21408648"
"isMetaTRUE.method_bother","0.38 [0.12, 0.63]","0.00492674"
