stat,naive,mod,modelDiff
AvgM,"0.48 [0.25, 0.71]","0.49 [0.2, 0.77]",0
AvgR,"0.34 [0.27, 0.42]","0.2 [0.04, 0.37]","0.14 [0.12, 0.2]"
AvgDiff,"0.14 [-0.08, 0.36]","0.28 [-0.06, 0.62]","-0.14 [-0.18, -0.08]"
Perc0M,"87 [87, 92]","98 [97, 99]","-11 [-16, -4]"
Perc0R,"100 [96, 100]",100,"0 [-4, 0]"
Perc0Diff,"-13 [-14, -8]","-2 [-3, 94]","-11 [-17, -4]"
Perc0.2M,"78 [76, 88]","93 [91, 96]","-15 [-24, -2]"
Perc0.2R,"89 [78, 100]",0,"89 [77, 100]"
Perc0.2Diff,"-11 [-25, 12]","93 [91, 96]","-104 [-124, -9]"
