"Moderator","EstCI","Pval"
"X.Intercept.","0.35 [0.20, 0.50]","< 0.0001"
"isMetaTRUE","0.02 [-0.20, 0.25]","0.83858"
"mean_agec_mos","0.01 [-0.01, 0.03]","0.19261"
"test_langb.nonnative","-0.07 [-0.22, 0.08]","0.37616"
"test_langc.artificial","-0.17 [-2.68, 2.33]","0.54105"
"methodb.hpp","0 [-0.18, 0.18]","0.96759"
"methodc.other","0.21 [-1.82, 2.25]","0.49806"
