"Moderator","EstCI","Pval"
"X.Intercept.","0.52 [0.20, 0.83]","0.0068681"
"mean_agec_mos","0 [-0.03, 0.02]","0.9498122"
"test_langb.nonnative","0.09 [-0.22, 0.40]","0.5121046"
"test_langc.artificial","-0.2 [-2.85, 2.46]","0.5195447"
"methodb.hpp","-0.26 [-0.60, 0.08]","0.1147740"
"methodc.other","0.06 [-2.02, 2.14]","0.8419205"
