"Moderator","EstCI","Pval"
"X.Intercept.","0.6 [0.35, 0.84]","< 0.0001"
"isMetaTRUE","-0.15 [-0.40, 0.10]","0.22460"
"mean_agec_mos","0.01 [-0.02, 0.03]","0.48584"
"test_langb.nonnative","-0.18 [-0.44, 0.08]","0.16831"
"test_langc.artificial","-0.18 [-2.75, 2.38]","0.53374"
"methodb.hpp","-0.12 [-0.34, 0.09]","0.25383"
"methodc.other","0.14 [-1.91, 2.19]","0.64795"
