lab,age_group,method,d_z,n,d_z_var,mean_age,prop_monolingual,modal_lang1,mean_lang1_exposure,prop_preterm,prop_curr_earinfection,prop_hearing_vision,prop_cognitive_developmental,prop_nae,num_trials,participant_design,presentation,response_mode,setting,speaker,speaker_experience,speaker_fam,speaker_female,speech_type
bcrlunlv,12-15 mo,singlescreen,NA,NA,NA,409.786941580756,1,english,98.76975945017182,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
bounbcl,12-15 mo,singlescreen,NA,NA,NA,407.5991379310345,1,turkish,96.58189655172414,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
callab,12-15 mo,eyetracking,NA,NA,NA,407.074074074074,1,english,98.51851851851852,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
callab,9-12 mo,eyetracking,NA,NA,NA,336.1707317073171,1,english,98.5670731707317,NA,0,0,0.07926829268292683,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
cdcceu,12-15 mo,eyetracking,NA,NA,NA,398.90721649484533,1,hungarian,96.45360824742268,0,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
cdcceu,3-6 mo,eyetracking,NA,NA,NA,146,1,hungarian,99.42727272727272,0,0,0.1,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
cdcceu,6-9 mo,eyetracking,NA,NA,NA,183,1,hungarian,100,0,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
cfnuofn,12-15 mo,eyetracking,NA,NA,NA,392.73846153846154,1,english,100,NA,0.13846153846153847,0.13846153846153847,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
cfnuofn,6-9 mo,eyetracking,NA,NA,NA,193.37735849056602,1,english,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
cfnuofn,3-6 mo,eyetracking,NA,NA,NA,178,1,english,100,1,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
childlabmanchester,6-9 mo,eyetracking,NA,NA,NA,241.05714285714288,1,english,NA,0,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
childlabmanchester,9-12 mo,eyetracking,NA,NA,NA,309.44262295081967,1,english,NA,0,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
childlabmanchester,12-15 mo,eyetracking,NA,NA,NA,370,1,english,NA,0,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
childlabmanchester,3-6 mo,eyetracking,NA,NA,NA,182,1,english,NA,0,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
cogdevlabbyu,3-6 mo,eyetracking,NA,NA,NA,136.93617021276594,1,english,98.91489361702128,0.3617021276595745,0,0,0.0425531914893617,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
cogdevlabbyu,6-9 mo,eyetracking,NA,NA,NA,194.23529411764707,1,english,98.76470588235294,0.4117647058823529,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
dcnlabtennessee,12-15 mo,eyetracking,NA,NA,NA,404.60416666666663,1,english,99.72916666666667,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
dcnlabtennessee,3-6 mo,eyetracking,NA,NA,NA,163.1,1,english,100,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
dcnlabtennessee,6-9 mo,eyetracking,NA,NA,NA,194.5,1,english,100,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
earlysocogfm,12-15 mo,eyetracking,NA,NA,NA,406,1,english,99.22784810126582,NA,0,0,0.11392405063291139,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
earlysocogfm,6-9 mo,eyetracking,NA,NA,NA,226.4913793103448,1,english,98.12068965517241,0.1896551724137931,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
earlysocogfm,9-12 mo,eyetracking,NA,NA,NA,315.3965517241379,1,english,99.49137931034483,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
escompicbsleipzig,3-6 mo,eyetracking,NA,NA,NA,155.71875,1,german,98.89583333333333,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
escompicbsleipzig,6-9 mo,eyetracking,NA,NA,NA,184,1,german,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
icclbc,6-9 mo,singlescreen,NA,NA,NA,231.66304347826087,1,english,99.02173913043478,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
icclbc,3-6 mo,singlescreen,NA,NA,NA,182,1,english,100,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
infantcogubc,6-9 mo,eyetracking,NA,NA,NA,226.44642857142858,1,english,97.53571428571429,NA,0,0.0625,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
infantstudiesubc,6-9 mo,hpp,NA,NA,NA,228.66331658291455,1,english,98.72361809045226,NA,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
irlconcordia,12-15 mo,eyetracking,NA,NA,NA,394.5982905982906,1,english,96.74358974358974,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
