lab,age_group,d_z,n,d_z_var,method,mean_age,prop_monolingual,modal_lang1,mean_lang1_exposure,prop_preterm,prop_curr_earinfection,prop_hearing_vision,prop_cognitive_developmental,prop_nae,num_trials,participant_design,presentation,response_mode,setting,speaker,speaker_experience,speaker_fam,speaker_female,speech_type
babylabbrookes,12-15 mo,0.30081253246058737,15,0.13484146966142252,singlescreen,410.25,1,english,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabbrookes,3-6 mo,0.6740790358229655,20,0.10567978183170024,singlescreen,138.88888888888889,1,english,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabbrookes,6-9 mo,0.5748995814085146,15,0.13884182547839474,singlescreen,231.12280701754386,1,english,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabkingswood,12-15 mo,0.42675047815008843,15,0.13636859951002214,hpp,414.0919540229885,1,english,99.77011494252874,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabkingswood,6-9 mo,0.32431535877206996,14,0.14473536521313315,hpp,218.32692307692307,1,english,98.9423076923077,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabkonstanz,6-9 mo,1.0815507410224412,12,0.191036500112629,hpp,231.92631578947368,1,german,100,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylableiden,9-12 mo,0.982505497938977,11,0.2037572057609163,hpp,324.7083333333333,1,dutch,97.45833333333333,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabnijmegen,6-9 mo,0.5020790927000348,26,0.07934695591660088,hpp,234.63101604278074,1,dutch,99.70053475935829,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabnijmegen,9-12 mo,0.09570454569191494,17,0.11778175529508965,hpp,333.912,1,dutch,99.776,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabparisdescartes1,12-15 mo,0.4058890922559875,13,0.15701434529254596,hpp,406.1162790697674,1,french,98.45348837209302,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabplymouth,9-12 mo,0.639792003275204,25,0.084093338074549,hpp,317.07272727272726,1,english,99.87878787878788,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabpotsdam,9-12 mo,0.6032212865574906,42,0.04978497571759568,hpp,306.996632996633,1,german,98.42760942760943,NA,0,0,0.02356902356902357,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabpotsdam,9-12 mo,0.6032212865574906,42,0.04978497571759568,hpp,306.996632996633,1,german,98.42760942760943,NA,0,0,0.02356902356902357,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabpotsdam,9-12 mo,0.6032212865574906,42,0.04978497571759568,singlescreen,306.996632996633,1,german,98.42760942760943,NA,0,0,0.02356902356902357,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabpotsdam,9-12 mo,0.6032212865574906,42,0.04978497571759568,singlescreen,306.996632996633,1,german,98.42760942760943,NA,0,0,0.02356902356902357,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabshimane,6-9 mo,-0.09498267021869346,11,0.1820232206282244,eyetracking,230.35897435897436,1,japanese,99.52564102564102,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabuclajohnson,12-15 mo,0.5977302881280686,18,0.11607335412980088,eyetracking,405.1709401709402,1,english,98.06837606837607,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabutrecht,6-9 mo,0.10950452404608406,29,0.06906889000678068,hpp,224.75520833333334,1,dutch,100,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabutrecht,9-12 mo,0.18608512935110513,29,0.06926403168418635,hpp,325.6507936507937,1,dutch,100,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabvuw,6-9 mo,0.031084802334250098,13,0.15386473586415692,singlescreen,227.02197802197801,1,english,98.02197802197803,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabyork,6-9 mo,0.1549735681922673,15,0.13373361344730406,singlescreen,218.9075630252101,1,english,100,NA,0.06722689075630252,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabyork,9-12 mo,0.5051918580882105,14,0.14741462166926103,singlescreen,313.8514851485148,1,english,99.93069306930693,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
baldwinlabuoregon,9-12 mo,0.5300366350888365,14,0.1478739077595767,singlescreen,322.29591836734693,1,english,98.72448979591837,NA,0,0,0.07142857142857142,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
bchdosu,12-15 mo,0.6735605024861826,14,0.15095863840195425,singlescreen,405.7362637362637,1,english,99.91208791208791,NA,0,0.08791208791208792,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
bchdosu,3-6 mo,0.4341621368544588,19,0.10774337843523722,singlescreen,141.27480916030535,1,english,99.42748091603053,NA,0,0.11450381679389313,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
bchdosu,6-9 mo,0.046682915335157685,15,0.13336965490973648,singlescreen,241.03883495145632,1,english,99.22330097087378,NA,0,0.27184466019417475,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
bchdosu,9-12 mo,0.46160331490027223,14,0.1466621003629807,singlescreen,322.7857142857143,1,english,99.91836734693878,NA,0,0.12244897959183673,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
bcrlunlv,12-15 mo,0.4897795262090147,19,0.10841952610912535,singlescreen,409.41803278688525,1,english,98.49180327868852,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
bllumanitoba,12-15 mo,1.7083531640660805,15,0.18197450888624314,hpp,410.6224489795918,1,english,98.12244897959184,NA,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
bllumanitoba,3-6 mo,0.3996588081601199,12,0.16999431589458264,hpp,166.54255319148936,1,english,97.05319148936171,NA,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
bllumanitoba,6-9 mo,-0.06316414700934479,25,0.08003989709467418,hpp,234.7696335078534,1,english,98.87434554973822,NA,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
bllumanitoba,9-12 mo,0.6772796852630215,22,0.09612167922806793,hpp,313.8169934640523,1,english,97.7124183006536,NA,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
bounbcl,12-15 mo,0.7430764187042669,17,0.12576709652991705,singlescreen,408.9316239316239,1,turkish,96.46153846153847,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
callab,9-12 mo,0.3504079387153539,10,0.2030696430878686,eyetracking,334.36986301369865,1,english,98.28767123287672,NA,0,0,0.0410958904109589,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
cdcceu,12-15 mo,0.7553715581563242,10,0.21426465477178783,eyetracking,399.51428571428573,1,hungarian,96.77142857142857,0,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
chosunbaby,12-15 mo,0.6603488796153675,30,0.07030050535674393,hpp,404.70319634703196,1,korean,100,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
chosunbaby,6-9 mo,0.17531489363381345,28,0.07170299385651638,hpp,224.7584541062802,1,korean,100,NA,0.028985507246376812,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
chosunbaby,9-12 mo,0.5530360176286023,19,0.10928748469466451,hpp,298.5507246376812,1,korean,100,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
earlysocogfm,9-12 mo,0.5543225207607742,11,0.1888016694777859,eyetracking,314.8125,1,english,99.421875,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
escompicbsleipzig,3-6 mo,0.39581211694435564,11,0.18537880072545393,eyetracking,155.04109589041096,1,german,99.02739726027397,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
ethosrennes,3-6 mo,-0.03335009863374619,37,0.05406156911539785,eyetracking,145.7970479704797,1,french,99.08856088560886,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
ethosrennes,6-9 mo,0.36785005178794306,29,0.07013201431552063,eyetracking,231.86666666666667,1,french,99.64102564102564,NA,0.020512820512820513,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
infantcoglablouisville,9-12 mo,0.036124246751999475,18,0.11112923557226943,singlescreen,323.59712230215825,1,english,99.96402877697842,NA,0.04316546762589928,0,0.03597122302158273,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
infantcogubc,3-6 mo,0.4843164487567,23,0.08950611328843805,singlescreen,138.04022988505747,1,english,97.856321839080465,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
infantlanglabutk,12-15 mo,0.6279981890792489,28,0.07494983683470371,hpp,415.36842105263156,1,english,99.7846889952153,NA,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
infantlanglabutk,6-9 mo,0.5239232038164411,31,0.06672980260884906,hpp,225.41150442477877,1,english,99.51327433628319,NA,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
infantllmadison,12-15 mo,1.062304690902043,22,0.10373285518536915,hpp,410.09722222222223,1,english,99.09722222222223,NA,0,0.041666666666666664,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
infantllmadison,6-9 mo,0.4829437335858705,26,0.07916571778663328,hpp,226.2921348314607,1,english,98.9438202247191,NA,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
infantllmadison,9-12 mo,1.061335636182163,26,0.08775416665990575,hpp,315.84180790960454,1,english,99.06214689265536,NA,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
infantstudiesubc,6-9 mo,0.5201149357159183,12,0.17230249054905777,hpp,229.03658536585365,1,english,98.32926829268293,NA,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
islnotredame,12-15 mo,0.6738255108951278,23,0.09189174803405521,hpp,409.8024691358025,1,english,99.73456790123457,NA,0,0,0.037037037037037035,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
kyotobabylab,9-12 mo,0.12416317719689653,13,0.15414262489560823,eyetracking,303.4864864864865,1,japanese,99.13513513513513,NA,0,0,0.05405405405405406,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
lancaster,12-15 mo,0.18285589656458626,12,0.16736325581059247,singlescreen,412.85135135135135,1,english,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
lancaster,6-9 mo,0.2834993930397943,16,0.12625581102896768,eyetracking,222.82905982905982,1,english,100,0,0,0.09401709401709402,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
langlabucla,3-6 mo,0.42533286095719886,29,0.07052506933284514,hpp,154.60663507109004,1,english,99.18009478672985,NA,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
langlabucla,9-12 mo,0.7690280329001694,25,0.08591404115386304,hpp,324.2020725388601,1,english,98.54922279792746,NA,0.04145077720207254,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
ldlottawa,6-9 mo,0.5353755745397857,10,0.20716567514534515,singlescreen,245.15151515151516,1,english,99.6969696969697,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
madlabucsd,6-9 mo,0.14274992667470185,10,0.20050943853914083,singlescreen,232.77941176470588,1,english,99.76470588235294,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
minddevlabbicocca,3-6 mo,0.49824023756776104,11,0.18746007578026316,singlescreen,147.75342465753425,1,italian,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
musdevutm,6-9 mo,0.26788748434636916,28,0.07206931878811987,hpp,226.49769585253455,1,english,98.68202764976958,NA,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
pocdnorthwestern,12-15 mo,0.668556796541596,15,0.1407828031700327,eyetracking,413.6936936936937,1,english,97.97297297297297,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
purdueinfantspeech,12-15 mo,0.6894105259242376,24,0.0882842382630743,hpp,395.77245508982037,1,english,99.94011976047904,0.04790419161676647,0.09580838323353294,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
purdueinfantspeech,9-12 mo,0.4855480282097105,25,0.08235756887698338,hpp,309,1,english,99.46783625730994,0,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
trainorlab,6-9 mo,0.4327484321760158,21,0.09746751435179522,hpp,242.41139240506328,1,english,97.9873417721519,NA,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
udssaarland,12-15 mo,0.13875605772464752,15,0.13365422072592142,singlescreen,407.64220183486236,1,german,100,NA,0.07339449541284404,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
udssaarland,6-9 mo,-0.024491295905108564,11,0.18183181417216163,singlescreen,239.75,1,german,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
udssaarland,9-12 mo,0.25119722639815667,12,0.1679812509697943,singlescreen,310.94565217391306,0.9130434782608695,german,99.1304347826087,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
unlvmusiclab,3-6 mo,0.8766135936504341,18,0.12178404711906567,singlescreen,138.10852713178295,1,english,99.76744186046511,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
weescienceedinburgh,6-9 mo,5.725580148144992e-4,31,0.06451613167598935,singlescreen,212.0950226244344,1,english,99.23076923076923,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
weltentdeckerzurich,12-15 mo,0.5902784875562483,23,0.0907437901399097,eyetracking,409.52517985611513,1,swissgerman,98.39568345323741,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
wsigoettingen,12-15 mo,0.5749200637860773,13,0.16020255922584206,singlescreen,407.735632183908,1,german,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
