model,stat,est,lo,hi,unique
naive,AvgM,0.64,0.37,0.91,naive_AvgM
naive,AvgR,0.35,0.27,0.91,naive_AvgR
naive,AvgDiff,0.29,0.02,0.55,naive_AvgDiff
naive,Perc0M,90,86,97,naive_Perc0M
naive,Perc0R,100,95,100,naive_Perc0R
naive,Perc0Diff,-10,-15,-1,naive_Perc0Diff
naive,Perc0.2M,86,80,93,naive_Perc0.2M
naive,Perc0.2R,82,74,100,naive_Perc0.2R
naive,Perc0.2Diff,4,-22,15,naive_Perc0.2Diff
mod,AvgM,0.59,0.29,0.88,mod_AvgM
mod,AvgR,0.14,-0.06,0.88,mod_AvgR
mod,AvgDiff,0.45,0.03,0.87,mod_AvgDiff
mod,Perc0M,98,89,100,mod_Perc0M
mod,Perc0R,100,0,100,mod_Perc0R
mod,Perc0Diff,-2,-11,0,mod_Perc0Diff
mod,Perc0.2M,84,79,85,mod_Perc0.2M
mod,Perc0.2R,0,,,mod_Perc0.2R
mod,Perc0.2Diff,84,-11,85,mod_Perc0.2Diff
modelDiff,AvgM,0.05,0.03,0.1,modelDiff_AvgM
modelDiff,AvgR,0.21,0.15,0.4,modelDiff_AvgR
modelDiff,AvgDiff,-0.16,-0.24,-0.09,modelDiff_AvgDiff
modelDiff,Perc0M,-8,-15,0,modelDiff_Perc0M
modelDiff,Perc0R,0,-5,0,modelDiff_Perc0R
modelDiff,Perc0Diff,-8,-17,2,modelDiff_Perc0Diff
modelDiff,Perc0.2M,2,1,8,modelDiff_Perc0.2M
modelDiff,Perc0.2R,82,74,100,modelDiff_Perc0.2R
modelDiff,Perc0.2Diff,-80,-98,-5,modelDiff_Perc0.2Diff
