name,value,section
m ests MA,85,1
m ests MB,104,1
m ests total,189,1
k studies MA,21,1
k studies MB,62,1
median n MA,17,1
median n MB,16,1
min n MA,9,1
min n MB,10,1
max n MA,77,1
max n MB,46,1
