"Moderator","EstCI","Pval"
"X.Intercept.","0.64 [-0.10, 1.38]","0.068216"
"mean_agec_mos","0.07 [-0.13, 0.27]","0.335658"
"test_langb.nonnative","-0.29 [-1.87, 1.30]","0.473202"
"test_langc.artificial","-0.13 [-2.10, 1.83]","0.565059"
"methodb.hpp","-0.42 [-1.43, 0.58]","0.282898"
"methodc.other","-0.07 [-1.94, 1.81]","0.835149"
