"Moderator","EstCI","Pval"
"X.Intercept.","0.18 [0.02, 0.35]","0.03244135"
"isMetaTRUE","0.33 [-0.06, 0.72]","0.08621109"
"mean_agec_mos","0.04 [0.02, 0.07]","0.00068498"
"test_langb.nonnative","-0.1 [-0.22, 0.02]","0.08979679"
"test_langc.artificial","-0.15 [-2.41, 2.11]","0.55634581"
"methodb.hpp","0.06 [-0.19, 0.30]","0.62237103"
"methodc.other","0.05 [-1.77, 1.88]","0.85535072"
