"Moderator","EstCI","Pval"
"X.Intercept.","0.26 [0.13, 0.38]","0.0026906"
"isMeta_c","0.16 [-0.09, 0.41]","0.1707141"
"mean_agec_mos","0.05 [-0.00, 0.11]","0.0514525"
"test_lang_c","0.15 [-0.14, 0.43]","0.1736057"
"method_c","-0.1 [-0.37, 0.17]","0.4006774"
"isMeta_c.mean_agec_mos","0.02 [-0.09, 0.13]","0.6686777"
"isMeta_c.test_lang_c","0.11 [-0.46, 0.68]","0.5493741"
"isMeta_c.method_c","-0.67 [-1.22, -0.13]","0.0217075"
