"Moderator","EstCI","Pval"
"X.Intercept.","0.26 [0.13, 0.39]","0.0035786"
"isMeta_c","0.16 [-0.10, 0.41]","0.1881513"
"mean_agec_mos","0.05 [-0.06, 0.17]","0.1869989"
"test_lang_c","0.15 [-0.10, 0.40]","0.1430208"
"method_c","-0.11 [-0.38, 0.17]","0.3959424"
"isMeta_c.mean_agec_mos","0.02 [-0.21, 0.25]","0.7618307"
"isMeta_c.test_lang_c","0.11 [-0.39, 0.61]","0.5169929"
"isMeta_c.method_c","-0.68 [-1.23, -0.12]","0.0235877"
