"Moderator","EstCI","Pval"
"X.Intercept.","0.11 [-0.03, 0.25]","0.12438889"
"mean_agec_mos","0.05 [0.03, 0.07]","< 0.0001"
"test_langb.nonnative","-0.1 [-0.22, 0.01]","0.07887496"
"methodb.hpp","0.21 [0.11, 0.31]","0.00020564"
