"Moderator","EstCI","Pval"
"X.Intercept.","0.34 [-0.02, 0.70]","0.056377"
"isMeta_meta","0.16 [-0.09, 0.41]","0.170714"
"mean_agec_mos","0.06 [-0.06, 0.19]","0.213331"
"test_lang_c","0.2 [-0.64, 1.04]","0.331830"
"method_c","-0.44 [-1.08, 0.20]","0.126734"
"isMeta_meta.mean_agec_mos","0.02 [-0.09, 0.13]","0.668678"
"isMeta_meta.test_lang_c","0.11 [-0.46, 0.68]","0.549374"
"isMeta_meta.method_c","-0.67 [-1.22, -0.13]","0.021707"
