"Moderator","EstCI","Pval"
"X.Intercept.","0.18 [0.06, 0.30]","0.0050955"
"isMeta_rep","0.16 [-0.09, 0.41]","0.1707141"
"mean_agec_mos","0.04 [0.02, 0.07]","0.0003634"
"test_lang_c","0.09 [-0.01, 0.20]","0.0795631"
"method_c","0.23 [0.13, 0.34]","< 0.0001"
"isMeta_rep.mean_agec_mos","0.02 [-0.09, 0.13]","0.6686777"
"isMeta_rep.test_lang_c","0.11 [-0.46, 0.68]","0.5493741"
"isMeta_rep.method_c","-0.67 [-1.22, -0.13]","0.0217075"
