"Moderator","EstCI","Pval"
"X.Intercept.","0.36 [-0.01, 0.72]","0.053923"
"isMetaTRUE","0.31 [-0.01, 0.63]","0.053858"
"mean_agec_mos","0.06 [-0.06, 0.18]","0.231402"
"test_langb.nonnative","-0.26 [-0.75, 0.24]","0.242147"
"test_langc.artificial","-0.16 [-2.36, 2.04]","0.533059"
"methodb.hpp","-0.37 [-0.99, 0.26]","0.186166"
"methodc.other","-0.07 [-1.79, 1.66]","0.803898"
