"Moderator","EstCI","Pval"
"X.Intercept.","0.48 [-0.62, 1.58]","0.23212"
"isMeta_meta","0.31 [-0.45, 1.06]","0.35554"
"mean_agec_mos","0.09 [-0.03, 0.21]","0.12036"
"test_lang_c","0.14 [-0.81, 1.10]","0.48332"
"method_c","-0.41 [-2.30, 1.47]","0.54489"
"isMeta_meta.mean_agec_mos","0.04 [-0.07, 0.16]","0.39843"
"isMeta_meta.test_lang_c","0.05 [-0.59, 0.69]","0.78584"
"isMeta_meta.method_c","-0.65 [-2.20, 0.90]","0.33600"
