"Moderator","EstCI","Pval"
"X.Intercept.","0.32 [-0.05, 0.70]","0.081125"
"isMeta_c","0.31 [-0.45, 1.06]","0.355544"
"mean_agec_mos","0.07 [0.01, 0.12]","0.025138"
"test_lang_c","0.12 [-0.20, 0.44]","0.273987"
"method_c","-0.09 [-0.87, 0.69]","0.783117"
"isMeta_c.mean_agec_mos","0.04 [-0.07, 0.16]","0.398431"
"isMeta_c.test_lang_c","0.05 [-0.59, 0.69]","0.785840"
"isMeta_c.method_c","-0.65 [-2.20, 0.90]","0.336002"
