"Moderator","EstCI","Pval"
"X.Intercept.","0.31 [-0.08, 0.71]","0.10097"
"isMeta_c","0.29 [-0.50, 1.08]","0.40673"
"mean_agec_mos","0.08 [-0.04, 0.19]","0.14380"
"test_lang_c","0.11 [-0.23, 0.44]","0.34721"
"method_c","-0.09 [-0.86, 0.69]","0.79057"
"isMeta_c.mean_agec_mos","0.06 [-0.17, 0.30]","0.49355"
"isMeta_c.test_lang_c","0.03 [-0.64, 0.69]","0.90250"
"isMeta_c.method_c","-0.64 [-2.19, 0.91]","0.34252"
