"Moderator","EstCI","Pval"
"X.Intercept.","0.74 [0.35, 1.13]","0.0057956"
"mean_agec_mos","0.09 [-0.03, 0.21]","0.1207885"
"test_langb.nonnative","-0.26 [-0.95, 0.44]","0.3120079"
"test_langc.artificial","-0.49 [-2.04, 1.06]","0.3362166"
"methodb.hpp","-0.37 [-2.22, 1.48]","0.5830986"
"methodc.other","0.55 [-0.91, 2.02]","0.2996742"
