"Moderator","EstCI","Pval"
"X.Intercept.","0.17 [0.04, 0.30]","0.01045239"
"isMeta_rep","0.31 [-0.45, 1.06]","0.35554417"
"mean_agec_mos","0.04 [0.02, 0.07]","0.00036663"
"test_lang_c","0.09 [-0.01, 0.20]","0.08479784"
"method_c","0.24 [0.13, 0.34]","< 0.0001"
"isMeta_rep.mean_agec_mos","0.04 [-0.07, 0.16]","0.39843134"
"isMeta_rep.test_lang_c","0.05 [-0.59, 0.69]","0.78583978"
"isMeta_rep.method_c","-0.65 [-2.20, 0.90]","0.33600161"
