"Moderator","EstCI","Pval"
"X.Intercept.","0.1 [-0.05, 0.25]","0.18966468"
"mean_agec_mos","0.05 [0.02, 0.07]","0.00029046"
"test_langb.nonnative","-0.08 [-0.19, 0.04]","0.19337149"
"methodb.hpp","0.22 [0.12, 0.32]","0.00014863"
